time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0, -0.1061621, 0.02352295, 0.999862, -0.05599999, -0.08851218, 0.03019512, 21.07059
0.01995, -0.09249023, 0.02425476, 0.988835, -0.02551222, 0.06392682, -0.09175611, 20.97647
0.039937, -0.09444336, 0.02547668, 0.9991334, -0.02551222, 0.03343904, -0.03078049, 20.97647
0.059929, -0.09639648, 0.02450317, 0.9947121, 0.004975557, -0.1799756, 0.03019512, 20.88235
0.079934, -0.09834961, 0.0269397, 0.9946968, -0.05599999, -0.02753651, -0.0002926588, 20.97647
0.099934, -0.09859375, 0.0213208, 0.9922644, -0.2999024, -0.02753651, 0.09117073, 20.92941
0.119929, -0.09541992, 0.02376953, 0.995695, -0.1169757, 0.09441471, -0.0002926588, 21.02353
0.139935, -0.0959082, 0.03011658, 0.9959099, -0.02551222, 0.03343904, 0.1521463, 20.92941
0.159932, -0.0946875, 0.02474792, 0.9995949, -0.1169757, 0.03343904, 0.1826341, 20.92941
0.179932, -0.09786133, 0.02547729, 1.0052, -0.02551222, 0.09441471, 0.06068292, 20.78824
0.20021, -0.1000586, 0.02158936, 0.9983908, 0.1574147, -0.08851218, -0.03078049, 20.92941
0.219944, -0.09957031, 0.02278992, 0.9932257, -0.08648777, 0.03343904, 0.1216585, 20.97647
0.239939, -0.1010352, 0.02546936, 0.987145, 0.1574147, 0.1553903, 0.09117073, 20.97647
0.259931, -0.1029883, 0.02741699, 1.000096, 0.096439, 0.1553903, 0.1216585, 21.02353
0.279929, -0.09371094, 0.02547424, 0.9937866, -0.1474634, 0.06392682, 0.03019512, 20.97647
0.299928, -0.09786133, 0.01887817, 0.9905502, 0.1269268, -0.271439, 0.1826341, 20.97647
0.31993, -0.1025, 0.02303161, 1.001118, -0.08648777, 0.03343904, 0.03019512, 20.88235
0.339934, -0.09004883, 0.02449829, 0.9847177, -0.05599999, 0.06392682, 0.1521463, 20.88235
0.359937, -0.09371094, 0.02693054, 1.000809, -0.05599999, 0.1249025, 0.2131219, 20.97647
0.379934, -0.09712891, 0.02280029, 0.9908262, 0.004975557, 0.002951264, 0.09117073, 20.88235
0.399967, -0.0959082, 0.02303406, 1.001295, -0.05599999, -0.119, -0.03078049, 20.97647
0.419944, -0.0959082, 0.01986816, 0.9893283, -0.1169757, 0.3078293, -0.0002926588, 20.92941
0.439934, -0.09273438, 0.02083557, 0.9962011, -0.2389269, 0.03343904, -0.1832195, 20.92941
0.45993, -0.09688477, 0.02742615, 0.9937241, -0.02551222, 0.2163659, -0.1832195, 20.92941
0.479926, -0.09664063, 0.02352234, 0.986396, -0.1779512, -0.1799756, 0.09117073, 20.97647
0.499931, -0.09908203, 0.02841308, 0.9971624, 0.004975557, 0.002951264, -0.1222439, 20.97647
0.51993, -0.0959082, 0.01888245, 1.003965, 0.1269268, 0.1858781, 0.1521463, 20.92941
0.539931, -0.09493164, 0.02447937, 1.000867, -0.1169757, 0.09441471, -0.03078049, 20.88235
0.559931, -0.09639648, 0.02571411, 1.00208, -0.08648777, 0.1553903, 0.1826341, 20.88235
0.579934, -0.09688477, 0.01986816, 0.9954165, 0.004975557, -0.119, -0.03078049, 21.07059
0.599984, -0.0934668, 0.02622131, 0.9922478, 0.2183902, -0.02753651, 0.1826341, 20.88235
0.61994, -0.09932617, 0.02401672, 0.9988498, 0.1574147, -0.08851218, 0.09117073, 20.97647
0.639931, -0.09688477, 0.02230713, 0.9922898, 0.096439, -0.08851218, -0.09175611, 20.92941
0.659932, -0.09297852, 0.02401245, 0.9976341, 0.03546345, 0.1249025, 0.09117073, 20.92941
0.679931, -0.09639648, 0.02132324, 0.9927832, 0.1879025, -0.05802441, -0.03078049, 20.97647
0.699926, -0.09981445, 0.02353333, 0.9834918, 0.06595123, 0.1249025, -0.0002926588, 20.83529
0.71993, -0.104209, 0.02547547, 0.9922834, 0.096439, 0.1249025, 0.03019512, 21.02353
0.739925, -0.09761719, 0.02132385, 0.9961833, -0.08648777, 0.2468537, 0.1216585, 20.92941
0.759922, -0.09664063, 0.02523071, 0.987632, 0.096439, 0.1858781, 0.03019512, 21.02353
0.77993, -0.1012793, 0.02620239, 0.9896183, 0.1879025, 0.1858781, 0.06068292, 20.97647
0.80006, -0.09493164, 0.02133301, 0.9942314, -0.1474634, 0.03343904, -0.0002926588, 20.97647
0.8199471, -0.09639648, 0.02206055, 0.9935513, 0.096439, 0.03343904, 0.03019512, 20.97647
0.839931, -0.09834961, 0.02401123, 1.003745, 0.096439, -0.2409512, 0.1216585, 20.97647
0.8599339, -0.09151367, 0.02449402, 0.9922694, -0.02551222, 0.09441471, 0.1521463, 20.97647
0.879932, -0.09981445, 0.02059814, 0.9935156, 0.06595123, 0.09441471, -0.06126827, 20.97647
0.899933, -0.100791, 0.02206299, 0.999586, 0.1269268, 0.09441471, -0.0002926588, 21.02353
0.919932, -0.09541992, 0.02644775, 0.9944527, -0.02551222, 0.06392682, 0.1216585, 21.02353
0.939933, -0.08858398, 0.02767334, 0.9983883, 0.004975557, 0.1858781, 0.1216585, 20.92941
0.959926, -0.09688477, 0.02547852, 0.9981059, -0.1169757, 0.09441471, -0.1222439, 20.92941
0.9799339, -0.09761719, 0.02303711, 0.9954369, -0.08648777, 0.002951264, 0.03019512, 20.92941
1.000217, -0.09419922, 0.02767334, 0.9954216, 0.096439, 0.1858781, 0.03019512, 20.92941
1.019949, -0.09737305, 0.02766602, 0.9927463, -0.02551222, 0.09441471, 0.1216585, 20.88235
1.039935, -0.09615234, 0.02694275, 0.9937661, -0.08648777, -0.119, 0.2740976, 20.97647
1.059929, -0.09615234, 0.02279785, 0.9954127, -0.208439, 0.4602683, 0.365561, 20.92941
1.079937, -0.09493164, 0.01939148, 0.9968903, -0.02551222, 0.1553903, 0.365561, 21.02353
1.099924, -0.09932617, 0.02181274, 0.9937419, -0.2694147, 0.1553903, 0.3960488, 20.97647
1.119932, -0.09639648, 0.01717773, 0.9962267, -0.05599999, 0.1553903, -0.03078049, 20.88235
1.139932, -0.09932617, 0.02377441, 1.004957, -0.08648777, 0.1553903, -0.09175611, 21.07059
1.159928, -0.09639648, 0.02231384, 0.99761, -0.02551222, 0.09441471, 0.1216585, 20.97647
1.179929, -0.09761719, 0.02669006, 0.9947376, 0.3403414, 0.06392682, -0.0002926588, 21.02353
1.204178, -0.1015234, 0.02499451, 0.9993649, 0.1269268, 0.1249025, 0.1826341, 20.97647
1.219944, -0.1003027, 0.02694092, 0.9944859, 0.06595123, 0.09441471, 0.1216585, 21.02353
1.239936, -0.09688477, 0.02180603, 1.00402, -0.08648777, 0.002951264, 0.1216585, 20.92941
1.259931, -0.09859375, 0.02522156, 0.991537, -0.05599999, 0.002951264, 0.06068292, 21.02353
1.279932, -0.09908203, 0.02254517, 1.002033, -0.02551222, 0.1249025, -0.0002926588, 20.92941
1.299928, -0.09932617, 0.02645324, 1.001542, -0.08648777, -0.1494877, -0.03078049, 20.92941
1.319938, -0.09395508, 0.02914307, 0.9915484, -0.1169757, -0.08851218, -0.03078049, 20.88235
1.33993, -0.09566406, 0.02132874, 0.9978796, 0.03546345, -0.05802441, 0.03019512, 20.97647
1.359928, -0.09273438, 0.023526, 0.9946828, 0.096439, 0.1249025, -0.06126827, 20.97647
1.37993, -0.09615234, 0.02107422, 0.9986655, 0.004975557, 0.1858781, 0.1216585, 20.97647
1.404396, -0.09493164, 0.02839844, 0.9983437, 0.1574147, -0.08851218, 0.09117073, 20.97647
1.419941, -0.09566406, 0.02424805, 0.9989148, -0.02551222, 0.09441471, 0.2740976, 20.97647
