time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.0, 0.02396484, 0.01864929, 0.9927246, 0.06595123, 0.09441471, 1.280195, 20.88235
0.019947, 0.02152344, 0.02644226, 0.9988141, 0.2183902, 0.06392682, 0.518, 20.92941
0.039938, 0.02665039, 0.02232666, 1.009485, -2.738927, -0.6677805, -1.43322, 20.88235
0.059933, 0.02274414, 0.003567505, 1.008071, -3.165756, 0.09441471, -0.7015122, 20.97647
0.079933, 0.008339845, 0.004767456, 1.002973, -1.245024, 0.5822196, 0.06068292, 20.88235
0.09993299, -0.007773437, 0.01255554, 1.003928, 0.6147317, -0.05802441, 0.5484878, 20.92941
0.119936, 0.01053711, 0.01793884, 1.017341, 2.261073, 2.198073, 0.8228781, 20.88235
0.139931, 0.0278711, 0.01231201, 1.013372, 1.072049, 3.539537, -0.4880976, 20.92941
0.159936, -0.06563477, -0.1057996, 1.087864, 7.200098, 4.850513, 10.57898, 20.88235
0.179932, 0.001503907, 0.03984558, 0.9362803, 1.011073, 7.381, 7.621659, 20.92941
0.200101, -0.01143555, 0.01524841, 0.9869914, 0.1879025, 1.222463, 2.194829, 20.88235
0.219946, -0.002402343, 0.009129027, 0.9897655, 0.9805853, -3.228756, 2.072878, 21.02353
0.239942, 0.02835938, 0.0008758539, 1.053786, 0.4622927, -2.222659, -0.2137073, 20.92941
0.259936, 0.1255274, 0.2214423, 0.6458869, 23.51107, 11.64929, 5.060683, 21.02353
0.279937, 0.004433595, 0.03256774, 1.021572, 20.37083, -0.9421706, 3.871659, 20.92941
0.299933, 0.07376953, 0.07201355, 0.9907715, 13.4501, 6.40539, 3.261902, 20.92941
0.319932, 0.06717773, 0.05784851, 1.029441, 1.651317, 3.112707, -5.244195, 20.97647
0.33994, 0.02201172, 0.05371887, 0.9863073, -7.251122, -1.734854, -10.06127, 20.88235
0.359938, 0.003701173, 0.04446777, 0.9810555, -9.690146, -2.679976, -6.494195, 20.88235
0.379935, -0.001914062, 0.008432616, 0.9983603, -5.909658, 2.868805, -0.5185853, 20.97647
0.39997, 0.004433595, 0.02936279, 0.9980983, -0.6962439, 5.85661, 1.219219, 20.97647
0.419944, 0.01249024, 0.05810547, 0.9774954, -0.208439, 3.387098, -1.829561, 21.07059
0.43994, 0.01419922, 0.07490723, 0.9916517, -1.702342, 1.313927, -3.750293, 20.97647
0.45993, 0.01810547, 0.07856202, 0.9412115, -3.53161, 0.9175854, -4.390537, 20.88235
0.47993, 0.01566406, 0.05031799, 0.9772016, -10.90966, -2.039732, -4.024683, 20.92941
0.499931, 0.009560548, -0.01177185, 1.012409, -10.75722, -3.869, -1.677122, 20.92941
0.519936, 0.01029297, -0.04634705, 1.004975, -2.403561, -2.161683, 2.377756, 21.02353
0.539935, 0.01273438, -0.03129211, 0.9781794, 6.133024, -1.734854, 2.530195, 20.97647
0.559934, -0.0002050772, 0.0003967285, 0.9884435, 7.139122, -4.509244, -0.09175611, 20.88235
0.579933, 0.01224609, 0.02181763, 1.003961, 1.315951, -4.204366, -1.799073, 20.88235
0.599985, 0.004433595, 0.02133728, 0.9855112, -4.934049, -1.490951, 1.158244, 20.88235
0.619951, -0.008505858, 0.02279175, 0.9902998, -6.946244, 0.002951264, 4.389951, 20.97647
0.639936, -0.00508789, 0.02181946, 0.9960967, -5.299903, -1.216561, 5.24361, 20.88235
0.659935, 0.001015626, 0.03179199, 1.020191, -1.824293, -3.960464, 3.505805, 20.97647
0.679936, 0.02689453, 0.06419799, 0.9986425, 2.962293, -3.076317, 2.04239, 20.88235
0.699938, 0.05741211, 0.07319519, 1.005658, -0.5133171, -0.05802441, 0.03019512, 20.92941
0.719933, 0.06717773, 0.1043494, 0.9836868, -8.318195, 13.20417, 8.231415, 20.92941
0.739937, -0.0700293, 0.07183289, 0.9247067, -19.53771, 22.50295, 31.5241, 20.92941
0.759936, -0.1654883, 0.003795166, 0.9694261, -12.46454, 5.612708, 33.5363, 20.83529
0.779928, -0.1103125, 0.02131103, 1.011425, 1.803756, -1.308024, 20.18264, 20.92941
0.799998, 0.03006836, 0.1145929, 0.9978083, 8.511073, -2.34461, 6.249708, 20.97647
0.819954, 0.05472656, 0.06512329, 0.9701788, 18.17571, -6.216561, -7.866147, 20.97647
0.83994, 0.0225, 0.08587218, 0.9546494, 11.01107, -4.021439, -3.110049, 20.92941
0.8599339, -0.001669921, -0.01106445, 1.103322, 19.15132, 12.83832, 5.365561, 20.88235
0.879934, 0.009560548, 0.1128748, 1.05713, 24.79156, 23.84442, 15.18263, 20.97647
0.899933, 0.03641602, 0.2235046, 1.013832, 20.06595, 46.77125, 30.24361, 20.92941
0.919934, 0.02665039, 0.2475598, 1.105514, 29.76107, 60.3688, 40.33508, 20.97647
0.939936, -0.07442383, 0.1232599, 1.085768, 42.444, 57.53344, 30.60946, 21.02353
0.959934, -0.2343359, 0.207652, 1.013753, 33.48059, 36.16149, 2.011902, 20.97647
0.979936, -0.2533789, 0.1891498, 0.8781307, 35.64522, 19.57612, -11.89054, 20.92941
1.00011, -0.2182226, 0.1121613, 0.9988982, 46.04156, -0.8811951, -24.08566, 20.97647
1.019949, -0.1234961, 0.06565247, 1.001034, 60.21839, 3.35661, -7.988098, 20.92941
1.039939, 0.07108398, 0.165484, 1.015126, 101.1635, 88.20417, 17.7741, 21.02353
1.059931, 0.03836914, 0.3225647, 1.083358, 77.50497, 116.009, 45.15215, 20.83529
1.079933, -0.1513281, 0.429024, 1.05301, 38.72449, 121.5273, 51.00581, 20.92941
1.099932, -0.3337012, 0.3705865, 1.030945, 7.931805, 66.77124, 46.34118, 21.02353
1.119936, -0.3940039, 0.1998145, 0.9578143, 13.90742, 17.41149, 31.46312, 20.92941
1.139934, -0.3393164, 0.1457147, 0.9275995, 51.49888, -1.856805, 25.7619, 20.88235
1.159934, -0.2423926, 0.2324231, 0.9254914, 71.92571, -1.826317, 24.66434, 20.97647
1.179933, -0.1786719, 0.2950635, 0.8951497, 56.62083, 0.7346586, 21.40215, 21.02353
1.204117, -0.1176367, 0.3478821, 0.9141029, 57.16961, 27.10661, 18.87166, 20.92941
1.219958, -0.158164, 0.3554449, 0.9760089, 60.98059, 31.43588, 23.47532, 21.02353
1.239938, -0.1676855, 0.2924335, 0.8170118, 99.944, 90.00296, 32.74361, 20.97647
1.259934, -0.2582617, 0.3180048, 0.9414862, 121.9867, 124.4542, 35.06068, 20.92941
1.279936, -0.4020606, 0.2749121, 1.022417, 104.5477, 96.3749, 20.518, 20.92941
1.299933, -0.3420019, 0.4162634, 1.028827, 74.09034, 63.32613, 14.72532, 21.02353
1.319933, -0.3305273, 0.465061, 0.9706658, 66.10254, 42.99076, 7.774098, 20.97647
1.339935, -0.378623, 0.4014184, 0.7926182, 82.2001, 53.41759, -2.835659, 20.88235
1.359936, -0.2643652, 0.426546, 0.4247874, 161.4684, 140.6432, 8.658244, 21.02353
1.379938, -0.3461523, 0.5339581, 0.606697, 207.0781, 145.9481, 31.00581, 20.97647
1.404295, -0.4984961, 0.6944495, 0.8231983, 175.7672, 92.8688, 36.79849, 20.97647
1.419951, -0.4858008, 0.7663208, 0.8716121, 131.0111, 35.73466, 36.98142, 20.88235
1.439939, -0.4782324, 0.632633, 0.7500763, 78.2062, -14.50924, 28.71922, 20.97647
1.459933, -0.4950781, 0.5473914, 0.6747317, 37.99278, -49.75315, 6.524098, 20.88235
1.47993, -0.4794531, 0.5081262, 0.4901279, 43.84644, -33.65559, -10.91493, 20.88235
1.499934, -0.4530859, 0.6413305, 0.4534309, 86.40742, 29.78954, -17.7442, 20.88235
1.519935, -0.3358984, 0.7438464, 0.4916584, 119.0903, 50.85661, -6.036878, 20.97647
1.539936, -0.2834082, 0.8130651, 0.5407475, 119.7306, 10.18588, 12.34727, 20.97647
1.559936, -0.3449316, 0.8059735, 0.5783815, 84.15133, -4.14339, 13.81068, 21.02353
1.579934, -0.3525, 0.7716486, 0.5216941, 67.04766, 16.131, 5.121659, 20.83529
1.604481, -0.442832, 0.756806, 0.5510045, 66.07205, 19.45417, 1.524098, 20.92941
1.619947, -0.4572363, 0.7993817, 0.5837953, 62.29156, 29.11881, -1.402732, 20.88235
1.639934, -0.449668, 0.8646643, 0.5437733, 46.65132, 36.74076, -6.921024, 20.97647
1.659934, -0.4235449, 0.8259931, 0.4161722, 42.53547, 44.17978, -10.79298, 20.88235
1.679938, -0.3844824, 0.7835785, 0.258827, 68.38912, 54.30173, -1.036878, 20.88235
1.699935, -0.3871679, 0.8374151, 0.360707, 82.71839, 36.07003, 15.42654, 20.97647
1.719934, -0.3886328, 0.8451935, 0.2999777, 74.27327, 22.10661, 15.79239, 20.88235
1.739936, -0.4355078, 0.8425085, 0.269796, 52.53547, 22.19807, 12.7741, 20.88235
1.759935, -0.4171973, 0.8649103, 0.2199358, 46.9562, 17.50295, 15.54849, 21.02353
1.779932, -0.4211035, 0.8184345, 0.2317437, 49.51717, 4.515146, 16.31068, 20.92941
1.804604, -0.4079199, 0.7253546, 0.1305699, 85.46229, 9.057829, 15.60946, 20.97647
1.819953, -0.3764258, 0.7877106, 0.1876282, 94.09035, 17.50295, 13.87166, 20.97647
1.839937, -0.4164649, 0.8678199, 0.2954519, 87.77937, 48.631, -1.158829, 20.88235
1.859938, -0.4091406, 0.9090002, 0.3152107, 50.4623, 46.67978, -5.305171, 20.97647
1.879932, -0.3871679, 0.9000226, 0.1988396, 16.13302, 42.8993, -6.585659, 21.02353
1.899934, -0.4005957, 0.903902, 0.1748735, 4.059854, 36.67978, 3.353366, 20.97647
1.919936, -0.3481055, 0.8420435, 0.03152002, 15.24888, 25.85661, 15.91434, 21.07059
